"","Sigma","Type","M","Participant","Graph.Type","Error","Error..unsigned.","Index","Filepath","isValidation","mean"
"249",0.1,"trig",-0.4,"P3","scatter",-0.03,0.03,59,"img/trig/scatter/s0.1m-0.4/",0,0
"250",0.2,"quad",0.8,"P3","area",0.03,0.03,60,"img/quad/area/s0.2m0.8/",0,0
"251",0.15,"line",-0.2,"P3","scatter",0.06,0.06,61,"img/line/scatter/s0.15m-0.2/",0,0
"252",0.1,"trig",-0.8,"P3","line",-0.05,0.05,62,"img/trig/line/s0.1m-0.8/",0,0
"253",0.1,"line",0.2,"P3","line",0.03,0.03,63,"img/line/line/s0.1m0.2/",0,0
"254",0.1,"quad",-0.8,"P3","area",0.02,0.02,64,"img/quad/area/s0.1m-0.8/",0,0
"255",0.05,"trig",-0.4,"P3","line",0,0,65,"img/trig/line/s0.05m-0.4/",0,0
"256",0.05,"quad",-0.1,"P3","scatter",0.01,0.01,66,"img/quad/scatter/s0.05m-0.1/",0,0
"257",0.1,"line",-0.1,"P3","scatter",0.01,0.01,67,"img/line/scatter/s0.1m-0.1/",0,0
"258",0.15,"trig",0.2,"P3","line",0.07,0.07,68,"img/trig/line/s0.15m0.2/",0,0
"259",0.05,"line",0.4,"P3","area",0.01,0.01,69,"img/line/area/s0.05m0.4/",0,0
"260",0.15,"quad",0.8,"P3","scatter",-0.06,0.06,70,"img/quad/scatter/s0.15m0.8/",0,0
"261",0.1,"trig",-0.4,"P3","line",-0.01,0.01,71,"img/trig/line/s0.1m-0.4/",0,0
"262",0.15,"quad",-0.4,"P3","line",0.05,0.05,72,"img/quad/line/s0.15m-0.4/",0,0
"263",0.1,"line",-0.4,"P3","area",-0.04,0.04,73,"img/line/area/s0.1m-0.4/",0,0
"264",0.2,"trig",0.2,"P3","area",0.03,0.03,74,"img/trig/area/s0.2m0.2/",0,0
"265",0.15,"line",0.1,"P3","area",0.03,0.03,75,"img/line/area/s0.15m0.1/",0,0
"266",0.2,"quad",-0.4,"P3","area",0.03,0.03,77,"img/quad/area/s0.2m-0.4/",0,0
"267",0.1,"trig",0.8,"P3","line",0.01,0.01,78,"img/trig/line/s0.1m0.8/",0,0
"268",0.15,"quad",0.1,"P3","scatter",0.02,0.02,79,"img/quad/scatter/s0.15m0.1/",0,0
"269",0.2,"line",0.1,"P3","scatter",-0.08,0.08,80,"img/line/scatter/s0.2m0.1/",0,0
"270",0.2,"trig",-0.1,"P3","scatter",0.05,0.05,81,"img/trig/scatter/s0.2m-0.1/",0,0
"271",0.05,"line",-0.2,"P3","scatter",-0.01,0.01,82,"img/line/scatter/s0.05m-0.2/",0,0
"272",0.15,"quad",-0.1,"P3","line",0,0,83,"img/quad/line/s0.15m-0.1/",0,0
"273",0.05,"trig",0.4,"P3","line",-0.02,0.02,84,"img/trig/line/s0.05m0.4/",0,0
"274",0.15,"quad",-0.2,"P3","area",0.03,0.03,85,"img/quad/area/s0.15m-0.2/",0,0
"275",0.05,"line",-0.2,"P3","line",-0.01,0.01,86,"img/line/line/s0.05m-0.2/",0,0
"276",0.05,"trig",0.4,"P3","scatter",0.01,0.01,87,"img/trig/scatter/s0.05m0.4/",0,0
"277",0.15,"line",-0.1,"P3","scatter",0.07,0.07,88,"img/line/scatter/s0.15m-0.1/",0,0
"278",0.15,"quad",0.8,"P3","line",-0.16,0.16,89,"img/quad/line/s0.15m0.8/",0,0
"279",0.1,"trig",0.4,"P3","scatter",-0.02,0.02,90,"img/trig/scatter/s0.1m0.4/",0,0
"280",0.15,"quad",0.4,"P3","area",-0.06,0.06,91,"img/quad/area/s0.15m0.4/",0,0
"281",0.05,"line",0.8,"P3","area",-0.01,0.01,92,"img/line/area/s0.05m0.8/",0,0
"282",0.15,"trig",-0.4,"P3","scatter",-0.03,0.03,93,"img/trig/scatter/s0.15m-0.4/",0,0
"283",0.2,"line",0.4,"P3","area",0,0,94,"img/line/area/s0.2m0.4/",0,0
"284",0.1,"quad",0.1,"P3","scatter",-0.01,0.01,95,"img/quad/scatter/s0.1m0.1/",0,0
"285",0.05,"trig",0.1,"P3","area",-0.02,0.02,96,"img/trig/area/s0.05m0.1/",0,0
"286",0.15,"quad",-0.2,"P3","line",0.11,0.11,97,"img/quad/line/s0.15m-0.2/",0,0
"287",0.2,"line",0.2,"P3","line",0.1,0.1,98,"img/line/line/s0.2m0.2/",0,0
"288",0.2,"trig",-0.4,"P3","scatter",0.07,0.07,99,"img/trig/scatter/s0.2m-0.4/",0,0
"289",0.05,"trig",-0.8,"P4","line",-0.05,0.05,0,"img/trig/line/s0.05m-0.8/",0,0.09
"290",0.05,"line",0.2,"P4","area",0.02,0.02,1,"img/line/area/s0.05m0.2/",0,0.09
"291",0.1,"quad",-0.1,"P4","area",-0.1,0.1,2,"img/quad/area/s0.1m-0.1/",0,0.09
"292",0.05,"line",-0.1,"P4","area",-0.03,0.03,3,"img/line/area/s0.05m-0.1/",0,0.09
"293",0.1,"trig",0.1,"P4","line",0.06,0.06,4,"img/trig/line/s0.1m0.1/",0,0.09
"294",0.15,"quad",0.2,"P4","scatter",0.12,0.12,5,"img/quad/scatter/s0.15m0.2/",0,0.09
"295",0.2,"trig",-0.1,"P4","area",0.43,0.43,6,"img/trig/area/s0.2m-0.1/",0,0.09
"296",0.2,"line",0.2,"P4","scatter",0.13,0.13,7,"img/line/scatter/s0.2m0.2/",0,0.09
"297",0.05,"quad",0.1,"P4","scatter",0.02,0.02,8,"img/quad/scatter/s0.05m0.1/",0,0.09
"298",0.05,"line",-0.1,"P4","line",0.03,0.03,9,"img/line/line/s0.05m-0.1/",0,0.09
"299",0.05,"trig",0.1,"P4","line",0.03,0.03,10,"img/trig/line/s0.05m0.1/",0,0.09
"300",0.15,"quad",0.4,"P4","scatter",0.02,0.02,11,"img/quad/scatter/s0.15m0.4/",0,0.09
"301",0.2,"trig",-0.1,"P4","line",-0.24,0.24,12,"img/trig/line/s0.2m-0.1/",0,0.09
"302",0.1,"line",0.1,"P4","area",0.1,0.1,13,"img/line/area/s0.1m0.1/",0,0.09
"303",0.1,"quad",-0.2,"P4","area",-0.03,0.03,14,"img/quad/area/s0.1m-0.2/",0,0.09
"304",0.2,"line",-0.4,"P4","line",-0.06,0.06,15,"img/line/line/s0.2m-0.4/",0,0.09
"305",0.2,"trig",-0.2,"P4","line",-0.02,0.02,16,"img/trig/line/s0.2m-0.2/",0,0.09
"306",0.05,"quad",0.2,"P4","scatter",0.02,0.02,17,"img/quad/scatter/s0.05m0.2/",0,0.09
"307",0.1,"trig",-0.1,"P4","line",-0.03,0.03,18,"img/trig/line/s0.1m-0.1/",0,0.09
"308",0.1,"line",0.2,"P4","scatter",0.09,0.09,20,"img/line/scatter/s0.1m0.2/",0,0.09
"309",0.2,"quad",-0.8,"P4","scatter",0.09,0.09,21,"img/quad/scatter/s0.2m-0.8/",0,0.09
"310",0.15,"line",-0.8,"P4","line",0.21,0.21,22,"img/line/line/s0.15m-0.8/",0,0.09
"311",0.05,"trig",0.8,"P4","scatter",0.11,0.11,23,"img/trig/scatter/s0.05m0.8/",0,0.09
"312",0.05,"quad",-0.8,"P4","area",0.01,0.01,24,"img/quad/area/s0.05m-0.8/",0,0.09
"313",0.15,"trig",-0.8,"P4","area",-0.11,0.11,25,"img/trig/area/s0.15m-0.8/",0,0.09
"314",0.1,"line",0.8,"P4","scatter",-0.05,0.05,26,"img/line/scatter/s0.1m0.8/",0,0.09
"315",0.05,"quad",0.8,"P4","line",0,0,27,"img/quad/line/s0.05m0.8/",0,0.09
"316",0.1,"line",0.2,"P4","area",0.1,0.1,28,"img/line/area/s0.1m0.2/",0,0.09
"317",0.2,"trig",-0.8,"P4","area",0.08,0.08,29,"img/trig/area/s0.2m-0.8/",0,0.09
"318",0.1,"quad",0.8,"P4","area",0.08,0.08,30,"img/quad/area/s0.1m0.8/",0,0.09
"319",0.1,"trig",-0.2,"P4","line",-0.08,0.08,31,"img/trig/line/s0.1m-0.2/",0,0.09
"320",0.15,"line",-0.1,"P4","area",0.17,0.17,32,"img/line/area/s0.15m-0.1/",0,0.09
"321",0.2,"quad",0.4,"P4","scatter",0.13,0.13,33,"img/quad/scatter/s0.2m0.4/",0,0.09
"322",0.05,"line",0.2,"P4","line",-0.06,0.06,34,"img/line/line/s0.05m0.2/",0,0.09
"323",0.15,"trig",-0.4,"P4","area",-0.06,0.06,35,"img/trig/area/s0.15m-0.4/",0,0.09
"324",0.1,"quad",0.4,"P4","area",0.07,0.07,36,"img/quad/area/s0.1m0.4/",0,0.09
"325",0.1,"trig",0.4,"P4","line",0.05,0.05,37,"img/trig/line/s0.1m0.4/",0,0.09
"326",0.15,"line",-0.8,"P4","scatter",0.1,0.1,39,"img/line/scatter/s0.15m-0.8/",0,0.09
"327",0.05,"quad",-0.4,"P4","scatter",-0.05,0.05,40,"img/quad/scatter/s0.05m-0.4/",0,0.09
"328",0.2,"line",-0.2,"P4","area",-0.07,0.07,41,"img/line/area/s0.2m-0.2/",0,0.09
"329",0.2,"trig",0.8,"P4","scatter",0.21,0.21,42,"img/trig/scatter/s0.2m0.8/",0,0.09
"330",0.15,"quad",0.2,"P4","area",0.1,0.1,43,"img/quad/area/s0.15m0.2/",0,0.09
"331",0.2,"trig",0.4,"P4","line",0.1,0.1,44,"img/trig/line/s0.2m0.4/",0,0.09
"332",0.15,"line",0.1,"P4","line",0.07,0.07,45,"img/line/line/s0.15m0.1/",0,0.09
"333",0.2,"quad",0.8,"P4","line",-0.02,0.02,46,"img/quad/line/s0.2m0.8/",0,0.09
"334",0.15,"line",0.4,"P4","line",-0.05,0.05,47,"img/line/line/s0.15m0.4/",0,0.09
"335",0.05,"trig",-0.8,"P4","scatter",0.06,0.06,48,"img/trig/scatter/s0.05m-0.8/",0,0.09
"336",0.05,"quad",-0.4,"P4","area",0.04,0.04,49,"img/quad/area/s0.05m-0.4/",0,0.09
"337",0.1,"trig",-0.2,"P4","scatter",-0.17,0.17,50,"img/trig/scatter/s0.1m-0.2/",0,0.09
"338",0.15,"line",0.8,"P4","area",0.01,0.01,51,"img/line/area/s0.15m0.8/",0,0.09
"339",0.2,"quad",0.1,"P4","line",0.19,0.19,52,"img/quad/line/s0.2m0.1/",0,0.09
"340",0.1,"line",-0.8,"P4","scatter",0.03,0.03,53,"img/line/scatter/s0.1m-0.8/",0,0.09
"341",0.2,"trig",-0.8,"P4","line",-0.13,0.13,54,"img/trig/line/s0.2m-0.8/",0,0.09
"342",0.2,"quad",0.1,"P4","area",0.24,0.24,55,"img/quad/area/s0.2m0.1/",0,0.09
"343",0.05,"trig",-0.2,"P4","area",-0.02,0.02,56,"img/trig/area/s0.05m-0.2/",0,0.09
"344",0.2,"line",-0.2,"P4","scatter",0.24,0.24,58,"img/line/scatter/s0.2m-0.2/",0,0.09
"345",0.1,"quad",-0.4,"P4","scatter",-0.01,0.01,59,"img/quad/scatter/s0.1m-0.4/",0,0.09
"346",0.2,"line",0.8,"P4","area",0.3,0.3,60,"img/line/area/s0.2m0.8/",0,0.09
"347",0.15,"trig",-0.2,"P4","scatter",-0.29,0.29,61,"img/trig/scatter/s0.15m-0.2/",0,0.09
"348",0.1,"quad",-0.8,"P4","line",-0.12,0.12,62,"img/quad/line/s0.1m-0.8/",0,0.09
"349",0.1,"trig",0.2,"P4","line",0.15,0.15,63,"img/trig/line/s0.1m0.2/",0,0.09
"350",0.1,"line",-0.8,"P4","area",-0.04,0.04,64,"img/line/area/s0.1m-0.8/",0,0.09
"351",0.05,"quad",-0.4,"P4","line",-0.01,0.01,65,"img/quad/line/s0.05m-0.4/",0,0.09
"352",0.05,"line",-0.1,"P4","scatter",-0.05,0.05,66,"img/line/scatter/s0.05m-0.1/",0,0.09
"353",0.1,"trig",-0.1,"P4","scatter",-0.21,0.21,67,"img/trig/scatter/s0.1m-0.1/",0,0.09
"354",0.15,"quad",0.2,"P4","line",0.12,0.12,68,"img/quad/line/s0.15m0.2/",0,0.09
"355",0.05,"trig",0.4,"P4","area",0.03,0.03,69,"img/trig/area/s0.05m0.4/",0,0.09
"356",0.15,"line",0.8,"P4","scatter",0.08,0.08,70,"img/line/scatter/s0.15m0.8/",0,0.09
"357",0.1,"quad",-0.4,"P4","line",-0.1,0.1,71,"img/quad/line/s0.1m-0.4/",0,0.09
"358",0.15,"line",-0.4,"P4","line",-0.05,0.05,72,"img/line/line/s0.15m-0.4/",0,0.09
"359",0.1,"trig",-0.4,"P4","area",-0.02,0.02,73,"img/trig/area/s0.1m-0.4/",0,0.09
"360",0.2,"quad",0.2,"P4","area",0.19,0.19,74,"img/quad/area/s0.2m0.2/",0,0.09
"361",0.15,"trig",0.1,"P4","area",0.24,0.24,75,"img/trig/area/s0.15m0.1/",0,0.09
"362",0.2,"line",-0.4,"P4","area",0.16,0.16,77,"img/line/area/s0.2m-0.4/",0,0.09
"363",0.1,"quad",0.8,"P4","line",-0.13,0.13,78,"img/quad/line/s0.1m0.8/",0,0.09
"364",0.15,"line",0.1,"P4","scatter",-0.19,0.19,79,"img/line/scatter/s0.15m0.1/",0,0.09
"365",0.2,"trig",0.1,"P4","scatter",0.32,0.32,80,"img/trig/scatter/s0.2m0.1/",0,0.09
"366",0.2,"quad",-0.1,"P4","scatter",0.12,0.12,81,"img/quad/scatter/s0.2m-0.1/",0,0.09
"367",0.05,"trig",-0.2,"P4","scatter",-0.04,0.04,82,"img/trig/scatter/s0.05m-0.2/",0,0.09
"368",0.15,"line",-0.1,"P4","line",-0.03,0.03,83,"img/line/line/s0.15m-0.1/",0,0.09
"369",0.05,"quad",0.4,"P4","line",0.02,0.02,84,"img/quad/line/s0.05m0.4/",0,0.09
"370",0.15,"line",-0.2,"P4","area",-0.09,0.09,85,"img/line/area/s0.15m-0.2/",0,0.09
"371",0.05,"trig",-0.2,"P4","line",0,0,86,"img/trig/line/s0.05m-0.2/",0,0.09
"372",0.05,"quad",0.4,"P4","scatter",0.03,0.03,87,"img/quad/scatter/s0.05m0.4/",0,0.09
"373",0.15,"trig",-0.1,"P4","scatter",-0.14,0.14,88,"img/trig/scatter/s0.15m-0.1/",0,0.09
"374",0.15,"line",0.8,"P4","line",0.14,0.14,89,"img/line/line/s0.15m0.8/",0,0.09
"375",0.1,"quad",0.4,"P4","scatter",0.11,0.11,90,"img/quad/scatter/s0.1m0.4/",0,0.09
"376",0.15,"line",0.4,"P4","area",0.08,0.08,91,"img/line/area/s0.15m0.4/",0,0.09
"377",0.05,"trig",0.8,"P4","area",0.11,0.11,92,"img/trig/area/s0.05m0.8/",0,0.09
"378",0.15,"quad",-0.4,"P4","scatter",-0.1,0.1,93,"img/quad/scatter/s0.15m-0.4/",0,0.09
"379",0.2,"trig",0.4,"P4","area",0.1,0.1,94,"img/trig/area/s0.2m0.4/",0,0.09
"380",0.1,"line",0.1,"P4","scatter",-0.11,0.11,95,"img/line/scatter/s0.1m0.1/",0,0.09
"381",0.05,"quad",0.1,"P4","area",0.04,0.04,96,"img/quad/area/s0.05m0.1/",0,0.09
"382",0.15,"line",-0.2,"P4","line",-0.07,0.07,97,"img/line/line/s0.15m-0.2/",0,0.09
"383",0.2,"trig",0.2,"P4","line",0.13,0.13,98,"img/trig/line/s0.2m0.2/",0,0.09
"384",0.2,"quad",-0.4,"P4","scatter",0.01,0.01,99,"img/quad/scatter/s0.2m-0.4/",0,0.09
"385",0.05,"quad",-0.8,"P5","line",-0.03,0.03,0,"img/quad/line/s0.05m-0.8/",0,0.01
"386",0.05,"trig",0.2,"P5","area",0.1,0.1,1,"img/trig/area/s0.05m0.2/",0,0.01
"387",0.1,"line",-0.1,"P5","area",0.09,0.09,2,"img/line/area/s0.1m-0.1/",0,0.01
"388",0.05,"trig",-0.1,"P5","area",-0.01,0.01,3,"img/trig/area/s0.05m-0.1/",0,0.01
"389",0.1,"quad",0.1,"P5","line",0.13,0.13,4,"img/quad/line/s0.1m0.1/",0,0.01
"390",0.15,"line",0.2,"P5","scatter",0.27,0.27,5,"img/line/scatter/s0.15m0.2/",0,0.01
"391",0.2,"quad",-0.1,"P5","area",0.02,0.02,6,"img/quad/area/s0.2m-0.1/",0,0.01
"392",0.2,"trig",0.2,"P5","scatter",0.27,0.27,7,"img/trig/scatter/s0.2m0.2/",0,0.01
"393",0.05,"line",0.1,"P5","scatter",-0.01,0.01,8,"img/line/scatter/s0.05m0.1/",0,0.01
"394",0.05,"trig",-0.1,"P5","line",0.03,0.03,9,"img/trig/line/s0.05m-0.1/",0,0.01
"395",0.05,"quad",0.1,"P5","line",0.02,0.02,10,"img/quad/line/s0.05m0.1/",0,0.01
"396",0.15,"line",0.4,"P5","scatter",0.29,0.29,11,"img/line/scatter/s0.15m0.4/",0,0.01
"397",0.2,"quad",-0.1,"P5","line",0.04,0.04,12,"img/quad/line/s0.2m-0.1/",0,0.01
"398",0.1,"trig",0.1,"P5","area",0.11,0.11,13,"img/trig/area/s0.1m0.1/",0,0.01
"399",0.1,"line",-0.2,"P5","area",-0.06,0.06,14,"img/line/area/s0.1m-0.2/",0,0.01
"400",0.2,"trig",-0.4,"P5","line",-0.14,0.14,15,"img/trig/line/s0.2m-0.4/",0,0.01
"401",0.2,"quad",-0.2,"P5","line",0.04,0.04,16,"img/quad/line/s0.2m-0.2/",0,0.01
"402",0.05,"line",0.2,"P5","scatter",0.09,0.09,17,"img/line/scatter/s0.05m0.2/",0,0.01
"403",0.1,"quad",-0.1,"P5","line",-0.03,0.03,18,"img/quad/line/s0.1m-0.1/",0,0.01
"404",0.1,"trig",0.2,"P5","scatter",0.14,0.14,20,"img/trig/scatter/s0.1m0.2/",0,0.01
"405",0.2,"line",-0.8,"P5","scatter",-0.11,0.11,21,"img/line/scatter/s0.2m-0.8/",0,0.01
"406",0.15,"trig",-0.8,"P5","line",-0.02,0.02,22,"img/trig/line/s0.15m-0.8/",0,0.01
"407",0.05,"quad",0.8,"P5","scatter",0.01,0.01,23,"img/quad/scatter/s0.05m0.8/",0,0.01
"408",0.05,"line",-0.8,"P5","area",0.01,0.01,24,"img/line/area/s0.05m-0.8/",0,0.01
"409",0.15,"quad",-0.8,"P5","area",0.03,0.03,25,"img/quad/area/s0.15m-0.8/",0,0.01
"410",0.1,"trig",0.8,"P5","scatter",-0.06,0.06,26,"img/trig/scatter/s0.1m0.8/",0,0.01
"411",0.05,"line",0.8,"P5","line",-0.04,0.04,27,"img/line/line/s0.05m0.8/",0,0.01
"412",0.1,"trig",0.2,"P5","area",0.02,0.02,28,"img/trig/area/s0.1m0.2/",0,0.01
"413",0.2,"quad",-0.8,"P5","area",-0.02,0.02,29,"img/quad/area/s0.2m-0.8/",0,0.01
"414",0.1,"line",0.8,"P5","area",0,0,30,"img/line/area/s0.1m0.8/",0,0.01
"415",0.1,"quad",-0.2,"P5","line",-0.07,0.07,31,"img/quad/line/s0.1m-0.2/",0,0.01
"416",0.15,"trig",-0.1,"P5","area",0.17,0.17,32,"img/trig/area/s0.15m-0.1/",0,0.01
"417",0.2,"line",0.4,"P5","scatter",0.18,0.18,33,"img/line/scatter/s0.2m0.4/",0,0.01
"418",0.05,"trig",0.2,"P5","line",0,0,34,"img/trig/line/s0.05m0.2/",0,0.01
"419",0.15,"quad",-0.4,"P5","area",-0.06,0.06,35,"img/quad/area/s0.15m-0.4/",0,0.01
"420",0.1,"line",0.4,"P5","area",0.09,0.09,36,"img/line/area/s0.1m0.4/",0,0.01
"421",0.1,"quad",0.4,"P5","line",0.07,0.07,37,"img/quad/line/s0.1m0.4/",0,0.01
"422",0.15,"trig",-0.8,"P5","scatter",-0.11,0.11,39,"img/trig/scatter/s0.15m-0.8/",0,0.01
"423",0.05,"line",-0.4,"P5","scatter",-0.06,0.06,40,"img/line/scatter/s0.05m-0.4/",0,0.01
"424",0.2,"trig",-0.2,"P5","area",0.05,0.05,41,"img/trig/area/s0.2m-0.2/",0,0.01
"425",0.2,"quad",0.8,"P5","scatter",0.12,0.12,42,"img/quad/scatter/s0.2m0.8/",0,0.01
"426",0.15,"line",0.2,"P5","area",0.05,0.05,43,"img/line/area/s0.15m0.2/",0,0.01
"427",0.2,"quad",0.4,"P5","line",0.16,0.16,44,"img/quad/line/s0.2m0.4/",0,0.01
"428",0.15,"trig",0.1,"P5","line",0.14,0.14,45,"img/trig/line/s0.15m0.1/",0,0.01
"429",0.2,"line",0.8,"P5","line",0.21,0.21,46,"img/line/line/s0.2m0.8/",0,0.01
"430",0.15,"trig",0.4,"P5","line",-0.03,0.03,47,"img/trig/line/s0.15m0.4/",0,0.01
"431",0.05,"quad",-0.8,"P5","scatter",-0.02,0.02,48,"img/quad/scatter/s0.05m-0.8/",0,0.01
"432",0.05,"line",-0.4,"P5","area",0.02,0.02,49,"img/line/area/s0.05m-0.4/",0,0.01
"433",0.1,"quad",-0.2,"P5","scatter",-0.13,0.13,50,"img/quad/scatter/s0.1m-0.2/",0,0.01
"434",0.15,"trig",0.8,"P5","area",0,0,51,"img/trig/area/s0.15m0.8/",0,0.01
"435",0.2,"line",0.1,"P5","line",-0.07,0.07,52,"img/line/line/s0.2m0.1/",0,0.01
"436",0.1,"trig",-0.8,"P5","scatter",-0.04,0.04,53,"img/trig/scatter/s0.1m-0.8/",0,0.01
"437",0.2,"quad",-0.8,"P5","line",-0.18,0.18,54,"img/quad/line/s0.2m-0.8/",0,0.01
"438",0.2,"line",0.1,"P5","area",-0.04,0.04,55,"img/line/area/s0.2m0.1/",0,0.01
"439",0.05,"quad",-0.2,"P5","area",0,0,56,"img/quad/area/s0.05m-0.2/",0,0.01
"440",0.2,"trig",-0.2,"P5","scatter",-0.19,0.19,58,"img/trig/scatter/s0.2m-0.2/",0,0.01
"441",0.1,"line",-0.4,"P5","scatter",-0.12,0.12,59,"img/line/scatter/s0.1m-0.4/",0,0.01
"442",0.2,"trig",0.8,"P5","area",0.05,0.05,60,"img/trig/area/s0.2m0.8/",0,0.01
"443",0.15,"quad",-0.2,"P5","scatter",-0.14,0.14,61,"img/quad/scatter/s0.15m-0.2/",0,0.01
"444",0.1,"line",-0.8,"P5","line",-0.01,0.01,62,"img/line/line/s0.1m-0.8/",0,0.01
"445",0.1,"quad",0.2,"P5","line",0.03,0.03,63,"img/quad/line/s0.1m0.2/",0,0.01
"446",0.1,"trig",-0.8,"P5","area",0.02,0.02,64,"img/trig/area/s0.1m-0.8/",0,0.01
"447",0.05,"line",-0.4,"P5","line",-0.02,0.02,65,"img/line/line/s0.05m-0.4/",0,0.01
"448",0.05,"trig",-0.1,"P5","scatter",-0.02,0.02,66,"img/trig/scatter/s0.05m-0.1/",0,0.01
"449",0.1,"quad",-0.1,"P5","scatter",-0.07,0.07,67,"img/quad/scatter/s0.1m-0.1/",0,0.01
"450",0.15,"line",0.2,"P5","line",0.12,0.12,68,"img/line/line/s0.15m0.2/",0,0.01
"451",0.05,"quad",0.4,"P5","area",0.07,0.07,69,"img/quad/area/s0.05m0.4/",0,0.01
"452",0.15,"trig",0.8,"P5","scatter",0.14,0.14,70,"img/trig/scatter/s0.15m0.8/",0,0.01
"453",0.1,"line",-0.4,"P5","line",0.04,0.04,71,"img/line/line/s0.1m-0.4/",0,0.01
"454",0.15,"trig",-0.4,"P5","line",-0.17,0.17,72,"img/trig/line/s0.15m-0.4/",0,0.01
"455",0.1,"quad",-0.4,"P5","area",0.05,0.05,73,"img/quad/area/s0.1m-0.4/",0,0.01
"456",0.2,"line",0.2,"P5","area",0.17,0.17,74,"img/line/area/s0.2m0.2/",0,0.01
"457",0.15,"quad",0.1,"P5","area",0.04,0.04,75,"img/quad/area/s0.15m0.1/",0,0.01
"458",0.2,"trig",-0.4,"P5","area",-0.02,0.02,77,"img/trig/area/s0.2m-0.4/",0,0.01
"459",0.1,"line",0.8,"P5","line",0.02,0.02,78,"img/line/line/s0.1m0.8/",0,0.01
"460",0.15,"trig",0.1,"P5","scatter",0.37,0.37,79,"img/trig/scatter/s0.15m0.1/",0,0.01
"461",0.2,"quad",0.1,"P5","scatter",-0.15,0.15,80,"img/quad/scatter/s0.2m0.1/",0,0.01
"462",0.2,"line",-0.1,"P5","scatter",0.05,0.05,81,"img/line/scatter/s0.2m-0.1/",0,0.01
"463",0.05,"quad",-0.2,"P5","scatter",0.01,0.01,82,"img/quad/scatter/s0.05m-0.2/",0,0.01
"464",0.15,"trig",-0.1,"P5","line",0.02,0.02,83,"img/trig/line/s0.15m-0.1/",0,0.01
"465",0.05,"line",0.4,"P5","line",0.06,0.06,84,"img/line/line/s0.05m0.4/",0,0.01
"466",0.15,"trig",-0.2,"P5","area",-0.01,0.01,85,"img/trig/area/s0.15m-0.2/",0,0.01
"467",0.05,"quad",-0.2,"P5","line",-0.01,0.01,86,"img/quad/line/s0.05m-0.2/",0,0.01
"468",0.05,"line",0.4,"P5","scatter",0.04,0.04,87,"img/line/scatter/s0.05m0.4/",0,0.01
"469",0.15,"quad",-0.1,"P5","scatter",-0.07,0.07,88,"img/quad/scatter/s0.15m-0.1/",0,0.01
"470",0.15,"trig",0.8,"P5","line",0,0,89,"img/trig/line/s0.15m0.8/",0,0.01
"471",0.1,"line",0.4,"P5","scatter",0.04,0.04,90,"img/line/scatter/s0.1m0.4/",0,0.01
"472",0.15,"trig",0.4,"P5","area",0.24,0.24,91,"img/trig/area/s0.15m0.4/",0,0.01
"473",0.05,"quad",0.8,"P5","area",0,0,92,"img/quad/area/s0.05m0.8/",0,0.01
"474",0.15,"line",-0.4,"P5","scatter",0.02,0.02,93,"img/line/scatter/s0.15m-0.4/",0,0.01
"475",0.2,"quad",0.4,"P5","area",-0.01,0.01,94,"img/quad/area/s0.2m0.4/",0,0.01
"476",0.1,"trig",0.1,"P5","scatter",0.11,0.11,95,"img/trig/scatter/s0.1m0.1/",0,0.01
"477",0.05,"line",0.1,"P5","area",-0.03,0.03,96,"img/line/area/s0.05m0.1/",0,0.01
"478",0.15,"trig",-0.2,"P5","line",-0.09,0.09,97,"img/trig/line/s0.15m-0.2/",0,0.01
"479",0.2,"quad",0.2,"P5","line",0.28,0.28,98,"img/quad/line/s0.2m0.2/",0,0.01
"480",0.2,"line",-0.4,"P5","scatter",-0.17,0.17,99,"img/line/scatter/s0.2m-0.4/",0,0.01
"481",0.05,"line",-0.8,"P6","line",-0.04,0.04,0,"img/line/line/s0.05m-0.8/",0,0.075
"482",0.05,"quad",0.2,"P6","area",-0.04,0.04,1,"img/quad/area/s0.05m0.2/",0,0.075
"483",0.1,"trig",-0.1,"P6","area",0.09,0.09,2,"img/trig/area/s0.1m-0.1/",0,0.075
"484",0.05,"quad",-0.1,"P6","area",0.03,0.03,3,"img/quad/area/s0.05m-0.1/",0,0.075
"485",0.1,"line",0.1,"P6","line",0.05,0.05,4,"img/line/line/s0.1m0.1/",0,0.075
"486",0.15,"trig",0.2,"P6","scatter",0.11,0.11,5,"img/trig/scatter/s0.15m0.2/",0,0.075
"487",0.2,"line",-0.1,"P6","area",0.12,0.12,6,"img/line/area/s0.2m-0.1/",0,0.075
"488",0.2,"quad",0.2,"P6","scatter",-0.08,0.08,7,"img/quad/scatter/s0.2m0.2/",0,0.075
"489",0.05,"trig",0.1,"P6","scatter",-0.1,0.1,8,"img/trig/scatter/s0.05m0.1/",0,0.075
"490",0.05,"quad",-0.1,"P6","line",0.04,0.04,9,"img/quad/line/s0.05m-0.1/",0,0.075
"491",0.05,"line",0.1,"P6","line",0.04,0.04,10,"img/line/line/s0.05m0.1/",0,0.075
"492",0.15,"trig",0.4,"P6","scatter",0.03,0.03,11,"img/trig/scatter/s0.15m0.4/",0,0.075
"493",0.2,"line",-0.1,"P6","line",0.14,0.14,12,"img/line/line/s0.2m-0.1/",0,0.075
"494",0.1,"quad",0.1,"P6","area",0.08,0.08,13,"img/quad/area/s0.1m0.1/",0,0.075
