"","Sigma","Type","M","Participant","Graph.Type","Error","Error..unsigned.","Index","Filepath","isValidation"
"1140",0.15,"line",-0.8,"P13","scatter",-0.06,0.06,39,"img/line/scatter/s0.15m-0.8/",0
"1141",0.05,"quad",-0.4,"P13","scatter",-0.06,0.06,40,"img/quad/scatter/s0.05m-0.4/",0
"1142",0.2,"line",-0.2,"P13","area",-0.05,0.05,41,"img/line/area/s0.2m-0.2/",0
"1143",0.2,"trig",0.8,"P13","scatter",-0.02,0.02,42,"img/trig/scatter/s0.2m0.8/",0
"1144",0.15,"quad",0.2,"P13","area",0.21,0.21,43,"img/quad/area/s0.15m0.2/",0
"1145",0.2,"trig",0.4,"P13","line",0.07,0.07,44,"img/trig/line/s0.2m0.4/",0
"1146",0.15,"line",0.1,"P13","line",0.03,0.03,45,"img/line/line/s0.15m0.1/",0
"1147",0.2,"quad",0.8,"P13","line",-0.02,0.02,46,"img/quad/line/s0.2m0.8/",0
"1148",0.15,"line",0.4,"P13","line",0.04,0.04,47,"img/line/line/s0.15m0.4/",0
"1149",0.05,"trig",-0.8,"P13","scatter",-0.01,0.01,48,"img/trig/scatter/s0.05m-0.8/",0
"1150",0.05,"quad",-0.4,"P13","area",0.02,0.02,49,"img/quad/area/s0.05m-0.4/",0
"1151",0.1,"trig",-0.2,"P13","scatter",-0.14,0.14,50,"img/trig/scatter/s0.1m-0.2/",0
"1152",0.15,"line",0.8,"P13","area",0.11,0.11,51,"img/line/area/s0.15m0.8/",0
"1153",0.2,"quad",0.1,"P13","line",0.13,0.13,52,"img/quad/line/s0.2m0.1/",0
"1154",0.1,"line",-0.8,"P13","scatter",-0.11,0.11,53,"img/line/scatter/s0.1m-0.8/",0
"1155",0.2,"trig",-0.8,"P13","line",0.06,0.06,54,"img/trig/line/s0.2m-0.8/",0
"1156",0.2,"quad",0.1,"P13","area",0.05,0.05,55,"img/quad/area/s0.2m0.1/",0
"1157",0.05,"trig",-0.2,"P13","area",-0.03,0.03,56,"img/trig/area/s0.05m-0.2/",0
"1158",0.02,"line",0.8,"P13","area",0,0,57,"img_validation/line/area/s0.2m0.8/",1
"1159",0.2,"line",-0.2,"P13","scatter",-0.12,0.12,58,"img/line/scatter/s0.2m-0.2/",0
"1160",0.1,"quad",-0.4,"P13","scatter",-0.05,0.05,59,"img/quad/scatter/s0.1m-0.4/",0
"1161",0.2,"line",0.8,"P13","area",-0.07,0.07,60,"img/line/area/s0.2m0.8/",0
"1162",0.15,"trig",-0.2,"P13","scatter",-0.11,0.11,61,"img/trig/scatter/s0.15m-0.2/",0
"1163",0.1,"quad",-0.8,"P13","line",0.02,0.02,62,"img/quad/line/s0.1m-0.8/",0
"1164",0.1,"trig",0.2,"P13","line",-0.01,0.01,63,"img/trig/line/s0.1m0.2/",0
"1165",0.1,"line",-0.8,"P13","area",0.02,0.02,64,"img/line/area/s0.1m-0.8/",0
"1166",0.05,"quad",-0.4,"P13","line",-0.02,0.02,65,"img/quad/line/s0.05m-0.4/",0
"1167",0.05,"line",-0.1,"P13","scatter",0,0,66,"img/line/scatter/s0.05m-0.1/",0
"1168",0.1,"trig",-0.1,"P13","scatter",0.03,0.03,67,"img/trig/scatter/s0.1m-0.1/",0
"1169",0.15,"quad",0.2,"P13","line",0.12,0.12,68,"img/quad/line/s0.15m0.2/",0
"1170",0.05,"trig",0.4,"P13","area",-0.03,0.03,69,"img/trig/area/s0.05m0.4/",0
"1171",0.15,"line",0.8,"P13","scatter",0.33,0.33,70,"img/line/scatter/s0.15m0.8/",0
"1172",0.1,"quad",-0.4,"P13","line",-0.04,0.04,71,"img/quad/line/s0.1m-0.4/",0
"1173",0.15,"line",-0.4,"P13","line",0.07,0.07,72,"img/line/line/s0.15m-0.4/",0
"1174",0.1,"trig",-0.4,"P13","area",-0.07,0.07,73,"img/trig/area/s0.1m-0.4/",0
"1175",0.2,"quad",0.2,"P13","area",0.22,0.22,74,"img/quad/area/s0.2m0.2/",0
"1176",0.15,"trig",0.1,"P13","area",0.03,0.03,75,"img/trig/area/s0.15m0.1/",0
"1177",0.01,"line",-0.4,"P13","area",0,0,76,"img_validation/line/area/s0.1m-0.4/",1
"1178",0.2,"line",-0.4,"P13","area",-0.01,0.01,77,"img/line/area/s0.2m-0.4/",0
"1179",0.1,"quad",0.8,"P13","line",-0.01,0.01,78,"img/quad/line/s0.1m0.8/",0
"1180",0.15,"line",0.1,"P13","scatter",0.29,0.29,79,"img/line/scatter/s0.15m0.1/",0
"1181",0.2,"trig",0.1,"P13","scatter",0.33,0.33,80,"img/trig/scatter/s0.2m0.1/",0
"1182",0.2,"quad",-0.1,"P13","scatter",-0.42,0.42,81,"img/quad/scatter/s0.2m-0.1/",0
"1183",0.05,"trig",-0.2,"P13","scatter",0.03,0.03,82,"img/trig/scatter/s0.05m-0.2/",0
"1184",0.15,"line",-0.1,"P13","line",0.09,0.09,83,"img/line/line/s0.15m-0.1/",0
"1185",0.05,"quad",0.4,"P13","line",-0.03,0.03,84,"img/quad/line/s0.05m0.4/",0
"1186",0.15,"line",-0.2,"P13","area",-0.25,0.25,85,"img/line/area/s0.15m-0.2/",0
"1187",0.05,"trig",-0.2,"P13","line",-0.01,0.01,86,"img/trig/line/s0.05m-0.2/",0
"1188",0.05,"quad",0.4,"P13","scatter",0.02,0.02,87,"img/quad/scatter/s0.05m0.4/",0
"1189",0.15,"trig",-0.1,"P13","scatter",-0.26,0.26,88,"img/trig/scatter/s0.15m-0.1/",0
"1190",0.15,"line",0.8,"P13","line",0.09,0.09,89,"img/line/line/s0.15m0.8/",0
"1191",0.1,"quad",0.4,"P13","scatter",0.2,0.2,90,"img/quad/scatter/s0.1m0.4/",0
"1192",0.15,"line",0.4,"P13","area",-0.02,0.02,91,"img/line/area/s0.15m0.4/",0
"1193",0.05,"trig",0.8,"P13","area",0.02,0.02,92,"img/trig/area/s0.05m0.8/",0
"1194",0.15,"quad",-0.4,"P13","scatter",-0.08,0.08,93,"img/quad/scatter/s0.15m-0.4/",0
"1195",0.2,"trig",0.4,"P13","area",0.18,0.18,94,"img/trig/area/s0.2m0.4/",0
"1196",0.1,"line",0.1,"P13","scatter",-0.23,0.23,95,"img/line/scatter/s0.1m0.1/",0
"1197",0.05,"quad",0.1,"P13","area",0,0,96,"img/quad/area/s0.05m0.1/",0
"1198",0.15,"line",-0.2,"P13","line",-0.07,0.07,97,"img/line/line/s0.15m-0.2/",0
"1199",0.2,"trig",0.2,"P13","line",0.01,0.01,98,"img/trig/line/s0.2m0.2/",0
"1200",0.2,"quad",-0.4,"P13","scatter",-0.15,0.15,99,"img/quad/scatter/s0.2m-0.4/",0
"1201",0.05,"quad",-0.8,"P14","line",-0.08,0.08,0,"img/quad/line/s0.05m-0.8/",0
"1202",0.05,"trig",0.2,"P14","area",-0.01,0.01,1,"img/trig/area/s0.05m0.2/",0
"1203",0.1,"line",-0.1,"P14","area",-0.05,0.05,2,"img/line/area/s0.1m-0.1/",0
"1204",0.05,"trig",-0.1,"P14","area",0.01,0.01,3,"img/trig/area/s0.05m-0.1/",0
"1205",0.1,"quad",0.1,"P14","line",0.03,0.03,4,"img/quad/line/s0.1m0.1/",0
"1206",0.15,"line",0.2,"P14","scatter",0.11,0.11,5,"img/line/scatter/s0.15m0.2/",0
"1207",0.2,"quad",-0.1,"P14","area",-0.14,0.14,6,"img/quad/area/s0.2m-0.1/",0
"1208",0.2,"trig",0.2,"P14","scatter",0.16,0.16,7,"img/trig/scatter/s0.2m0.2/",0
"1209",0.05,"line",0.1,"P14","scatter",-0.09,0.09,8,"img/line/scatter/s0.05m0.1/",0
"1210",0.05,"trig",-0.1,"P14","line",0.1,0.1,9,"img/trig/line/s0.05m-0.1/",0
"1211",0.05,"quad",0.1,"P14","line",-0.09,0.09,10,"img/quad/line/s0.05m0.1/",0
"1212",0.15,"line",0.4,"P14","scatter",0.26,0.26,11,"img/line/scatter/s0.15m0.4/",0
"1213",0.2,"quad",-0.1,"P14","line",0.23,0.23,12,"img/quad/line/s0.2m-0.1/",0
"1214",0.1,"trig",0.1,"P14","area",0.16,0.16,13,"img/trig/area/s0.1m0.1/",0
"1215",0.1,"line",-0.2,"P14","area",0,0,14,"img/line/area/s0.1m-0.2/",0
"1216",0.2,"trig",-0.4,"P14","line",-0.12,0.12,15,"img/trig/line/s0.2m-0.4/",0
"1217",0.2,"quad",-0.2,"P14","line",-0.15,0.15,16,"img/quad/line/s0.2m-0.2/",0
"1218",0.05,"line",0.2,"P14","scatter",0.17,0.17,17,"img/line/scatter/s0.05m0.2/",0
"1219",0.1,"quad",-0.1,"P14","line",-0.01,0.01,18,"img/quad/line/s0.1m-0.1/",0
"1220",0.01,"line",-0.4,"P14","area",0,0,19,"img_validation/line/area/s0.1m-0.4/",1
"1221",0.1,"trig",0.2,"P14","scatter",0.17,0.17,20,"img/trig/scatter/s0.1m0.2/",0
"1222",0.2,"line",-0.8,"P14","scatter",-0.37,0.37,21,"img/line/scatter/s0.2m-0.8/",0
"1223",0.15,"trig",-0.8,"P14","line",-0.14,0.14,22,"img/trig/line/s0.15m-0.8/",0
"1224",0.05,"quad",0.8,"P14","scatter",0.07,0.07,23,"img/quad/scatter/s0.05m0.8/",0
"1225",0.05,"line",-0.8,"P14","area",0.07,0.07,24,"img/line/area/s0.05m-0.8/",0
"1226",0.15,"quad",-0.8,"P14","area",0.15,0.15,25,"img/quad/area/s0.15m-0.8/",0
"1227",0.1,"trig",0.8,"P14","scatter",0.19,0.19,26,"img/trig/scatter/s0.1m0.8/",0
"1228",0.05,"line",0.8,"P14","line",0.15,0.15,27,"img/line/line/s0.05m0.8/",0
"1229",0.1,"trig",0.2,"P14","area",0.06,0.06,28,"img/trig/area/s0.1m0.2/",0
"1230",0.2,"quad",-0.8,"P14","area",-0.09,0.09,29,"img/quad/area/s0.2m-0.8/",0
"1231",0.1,"line",0.8,"P14","area",-0.16,0.16,30,"img/line/area/s0.1m0.8/",0
"1232",0.1,"quad",-0.2,"P14","line",-0.13,0.13,31,"img/quad/line/s0.1m-0.2/",0
"1233",0.15,"trig",-0.1,"P14","area",-0.11,0.11,32,"img/trig/area/s0.15m-0.1/",0
"1234",0.2,"line",0.4,"P14","scatter",-0.02,0.02,33,"img/line/scatter/s0.2m0.4/",0
"1235",0.05,"trig",0.2,"P14","line",-0.07,0.07,34,"img/trig/line/s0.05m0.2/",0
"1236",0.15,"quad",-0.4,"P14","area",-0.01,0.01,35,"img/quad/area/s0.15m-0.4/",0
"1237",0.1,"line",0.4,"P14","area",-0.19,0.19,36,"img/line/area/s0.1m0.4/",0
"1238",0.1,"quad",0.4,"P14","line",0.11,0.11,37,"img/quad/line/s0.1m0.4/",0
"1239",0.02,"line",0.8,"P14","area",0.01,0.01,38,"img_validation/line/area/s0.2m0.8/",1
"1240",0.15,"trig",-0.8,"P14","scatter",-0.16,0.16,39,"img/trig/scatter/s0.15m-0.8/",0
"1241",0.05,"line",-0.4,"P14","scatter",-0.03,0.03,40,"img/line/scatter/s0.05m-0.4/",0
"1242",0.2,"trig",-0.2,"P14","area",-0.08,0.08,41,"img/trig/area/s0.2m-0.2/",0
"1243",0.2,"quad",0.8,"P14","scatter",0.07,0.07,42,"img/quad/scatter/s0.2m0.8/",0
"1244",0.15,"line",0.2,"P14","area",0.11,0.11,43,"img/line/area/s0.15m0.2/",0
"1245",0.2,"quad",0.4,"P14","line",-0.15,0.15,44,"img/quad/line/s0.2m0.4/",0
"1246",0.15,"trig",0.1,"P14","line",-0.27,0.27,45,"img/trig/line/s0.15m0.1/",0
"1247",0.2,"line",0.8,"P14","line",-0.07,0.07,46,"img/line/line/s0.2m0.8/",0
"1248",0.15,"trig",0.4,"P14","line",0.08,0.08,47,"img/trig/line/s0.15m0.4/",0
"1249",0.05,"quad",-0.8,"P14","scatter",0,0,48,"img/quad/scatter/s0.05m-0.8/",0
"1250",0.05,"line",-0.4,"P14","area",0,0,49,"img/line/area/s0.05m-0.4/",0
"1251",0.1,"quad",-0.2,"P14","scatter",-0.14,0.14,50,"img/quad/scatter/s0.1m-0.2/",0
"1252",0.15,"trig",0.8,"P14","area",0.22,0.22,51,"img/trig/area/s0.15m0.8/",0
"1253",0.2,"line",0.1,"P14","line",-0.06,0.06,52,"img/line/line/s0.2m0.1/",0
"1254",0.1,"trig",-0.8,"P14","scatter",-0.13,0.13,53,"img/trig/scatter/s0.1m-0.8/",0
"1255",0.2,"quad",-0.8,"P14","line",0.13,0.13,54,"img/quad/line/s0.2m-0.8/",0
"1256",0.2,"line",0.1,"P14","area",-0.28,0.28,55,"img/line/area/s0.2m0.1/",0
"1257",0.05,"quad",-0.2,"P14","area",-0.02,0.02,56,"img/quad/area/s0.05m-0.2/",0
"1258",0.05,"line",-0.2,"P14","area",0,0,57,"img_validation/line/area/s0.05m-0.2/",1
"1259",0.2,"trig",-0.2,"P14","scatter",-0.19,0.19,58,"img/trig/scatter/s0.2m-0.2/",0
"1260",0.1,"line",-0.4,"P14","scatter",-0.33,0.33,59,"img/line/scatter/s0.1m-0.4/",0
"1261",0.2,"trig",0.8,"P14","area",0.32,0.32,60,"img/trig/area/s0.2m0.8/",0
"1262",0.15,"quad",-0.2,"P14","scatter",-0.01,0.01,61,"img/quad/scatter/s0.15m-0.2/",0
"1263",0.1,"line",-0.8,"P14","line",0.1,0.1,62,"img/line/line/s0.1m-0.8/",0
"1264",0.1,"quad",0.2,"P14","line",0.1,0.1,63,"img/quad/line/s0.1m0.2/",0
"1265",0.1,"trig",-0.8,"P14","area",0.07,0.07,64,"img/trig/area/s0.1m-0.8/",0
"1266",0.05,"line",-0.4,"P14","line",-0.04,0.04,65,"img/line/line/s0.05m-0.4/",0
"1267",0.05,"trig",-0.1,"P14","scatter",0.01,0.01,66,"img/trig/scatter/s0.05m-0.1/",0
"1268",0.1,"quad",-0.1,"P14","scatter",0.06,0.06,67,"img/quad/scatter/s0.1m-0.1/",0
"1269",0.15,"line",0.2,"P14","line",0.15,0.15,68,"img/line/line/s0.15m0.2/",0
"1270",0.05,"quad",0.4,"P14","area",-0.03,0.03,69,"img/quad/area/s0.05m0.4/",0
"1271",0.15,"trig",0.8,"P14","scatter",0.31,0.31,70,"img/trig/scatter/s0.15m0.8/",0
"1272",0.1,"line",-0.4,"P14","line",-0.13,0.13,71,"img/line/line/s0.1m-0.4/",0
"1273",0.15,"trig",-0.4,"P14","line",-0.02,0.02,72,"img/trig/line/s0.15m-0.4/",0
"1274",0.1,"quad",-0.4,"P14","area",0,0,73,"img/quad/area/s0.1m-0.4/",0
"1275",0.2,"line",0.2,"P14","area",0.07,0.07,74,"img/line/area/s0.2m0.2/",0
"1276",0.15,"quad",0.1,"P14","area",0.08,0.08,75,"img/quad/area/s0.15m0.1/",0
"1277",0.05,"line",-0.2,"P14","area",0,0,76,"img_validation/line/area/s0.05m-0.2/",1
"1278",0.2,"trig",-0.4,"P14","area",-0.32,0.32,77,"img/trig/area/s0.2m-0.4/",0
"1279",0.1,"line",0.8,"P14","line",-0.18,0.18,78,"img/line/line/s0.1m0.8/",0
"1280",0.15,"trig",0.1,"P14","scatter",-0.34,0.34,79,"img/trig/scatter/s0.15m0.1/",0
"1281",0.2,"quad",0.1,"P14","scatter",0.2,0.2,80,"img/quad/scatter/s0.2m0.1/",0
"1282",0.2,"line",-0.1,"P14","scatter",-0.1,0.1,81,"img/line/scatter/s0.2m-0.1/",0
"1283",0.05,"quad",-0.2,"P14","scatter",0.07,0.07,82,"img/quad/scatter/s0.05m-0.2/",0
"1284",0.15,"trig",-0.1,"P14","line",-0.15,0.15,83,"img/trig/line/s0.15m-0.1/",0
"1285",0.05,"line",0.4,"P14","line",0.17,0.17,84,"img/line/line/s0.05m0.4/",0
"1286",0.15,"trig",-0.2,"P14","area",-0.34,0.34,85,"img/trig/area/s0.15m-0.2/",0
"1287",0.05,"quad",-0.2,"P14","line",0.06,0.06,86,"img/quad/line/s0.05m-0.2/",0
"1288",0.05,"line",0.4,"P14","scatter",-0.03,0.03,87,"img/line/scatter/s0.05m0.4/",0
"1289",0.15,"quad",-0.1,"P14","scatter",-0.17,0.17,88,"img/quad/scatter/s0.15m-0.1/",0
"1290",0.15,"trig",0.8,"P14","line",0.08,0.08,89,"img/trig/line/s0.15m0.8/",0
"1291",0.1,"line",0.4,"P14","scatter",0.08,0.08,90,"img/line/scatter/s0.1m0.4/",0
"1292",0.15,"trig",0.4,"P14","area",-0.18,0.18,91,"img/trig/area/s0.15m0.4/",0
"1293",0.05,"quad",0.8,"P14","area",0.06,0.06,92,"img/quad/area/s0.05m0.8/",0
"1294",0.15,"line",-0.4,"P14","scatter",-0.09,0.09,93,"img/line/scatter/s0.15m-0.4/",0
"1295",0.2,"quad",0.4,"P14","area",0.15,0.15,94,"img/quad/area/s0.2m0.4/",0
"1296",0.1,"trig",0.1,"P14","scatter",0.24,0.24,95,"img/trig/scatter/s0.1m0.1/",0
"1297",0.05,"line",0.1,"P14","area",0.05,0.05,96,"img/line/area/s0.05m0.1/",0
"1298",0.15,"trig",-0.2,"P14","line",-0.22,0.22,97,"img/trig/line/s0.15m-0.2/",0
"1299",0.2,"quad",0.2,"P14","line",0.11,0.11,98,"img/quad/line/s0.2m0.2/",0
"1300",0.2,"line",-0.4,"P14","scatter",-0.22,0.22,99,"img/line/scatter/s0.2m-0.4/",0
"1301",0.05,"trig",-0.8,"P16","line",-0.02,0.02,0,"img/trig/line/s0.05m-0.8/",0
"1302",0.05,"line",0.2,"P16","area",0,0,1,"img/line/area/s0.05m0.2/",0
"1303",0.1,"quad",-0.1,"P16","area",-0.03,0.03,2,"img/quad/area/s0.1m-0.1/",0
"1304",0.05,"line",-0.1,"P16","area",-0.04,0.04,3,"img/line/area/s0.05m-0.1/",0
"1305",0.1,"trig",0.1,"P16","line",0.03,0.03,4,"img/trig/line/s0.1m0.1/",0
"1306",0.15,"quad",0.2,"P16","scatter",0.15,0.15,5,"img/quad/scatter/s0.15m0.2/",0
"1307",0.2,"trig",-0.1,"P16","area",0.02,0.02,6,"img/trig/area/s0.2m-0.1/",0
