"","Sigma","Type","M","Participant","Graph.Type","Error","Error..unsigned.","Index","Filepath","isValidation"
"1567",0.05,"quad",-0.1,"P18","scatter",0,0,66,"img/quad/scatter/s0.05m-0.1/",0
"1568",0.1,"line",-0.1,"P18","scatter",-0.09,0.09,67,"img/line/scatter/s0.1m-0.1/",0
"1569",0.15,"trig",0.2,"P18","line",0.05,0.05,68,"img/trig/line/s0.15m0.2/",0
"1570",0.05,"line",0.4,"P18","area",0.02,0.02,69,"img/line/area/s0.05m0.4/",0
"1571",0.15,"quad",0.8,"P18","scatter",0.1,0.1,70,"img/quad/scatter/s0.15m0.8/",0
"1572",0.1,"trig",-0.4,"P18","line",0.01,0.01,71,"img/trig/line/s0.1m-0.4/",0
"1573",0.15,"quad",-0.4,"P18","line",-0.11,0.11,72,"img/quad/line/s0.15m-0.4/",0
"1574",0.1,"line",-0.4,"P18","area",0.06,0.06,73,"img/line/area/s0.1m-0.4/",0
"1575",0.2,"trig",0.2,"P18","area",0.1,0.1,74,"img/trig/area/s0.2m0.2/",0
"1576",0.15,"line",0.1,"P18","area",-0.03,0.03,75,"img/line/area/s0.15m0.1/",0
"1577",0.01,"line",-0.4,"P18","area",0.01,0.01,76,"img_validation/line/area/s0.1m-0.4/",1
"1578",0.2,"quad",-0.4,"P18","area",0.11,0.11,77,"img/quad/area/s0.2m-0.4/",0
"1579",0.1,"trig",0.8,"P18","line",0,0,78,"img/trig/line/s0.1m0.8/",0
"1580",0.15,"quad",0.1,"P18","scatter",0.02,0.02,79,"img/quad/scatter/s0.15m0.1/",0
"1581",0.2,"line",0.1,"P18","scatter",0.08,0.08,80,"img/line/scatter/s0.2m0.1/",0
"1582",0.2,"trig",-0.1,"P18","scatter",-0.19,0.19,81,"img/trig/scatter/s0.2m-0.1/",0
"1583",0.05,"line",-0.2,"P18","scatter",0.03,0.03,82,"img/line/scatter/s0.05m-0.2/",0
"1584",0.15,"quad",-0.1,"P18","line",-0.06,0.06,83,"img/quad/line/s0.15m-0.1/",0
"1585",0.05,"trig",0.4,"P18","line",-0.01,0.01,84,"img/trig/line/s0.05m0.4/",0
"1586",0.15,"quad",-0.2,"P18","area",-0.02,0.02,85,"img/quad/area/s0.15m-0.2/",0
"1587",0.05,"line",-0.2,"P18","line",0,0,86,"img/line/line/s0.05m-0.2/",0
"1588",0.05,"trig",0.4,"P18","scatter",0.01,0.01,87,"img/trig/scatter/s0.05m0.4/",0
"1589",0.15,"line",-0.1,"P18","scatter",-0.11,0.11,88,"img/line/scatter/s0.15m-0.1/",0
"1590",0.15,"quad",0.8,"P18","line",0.05,0.05,89,"img/quad/line/s0.15m0.8/",0
"1591",0.1,"trig",0.4,"P18","scatter",0.06,0.06,90,"img/trig/scatter/s0.1m0.4/",0
"1592",0.15,"quad",0.4,"P18","area",0.15,0.15,91,"img/quad/area/s0.15m0.4/",0
"1593",0.05,"line",0.8,"P18","area",0,0,92,"img/line/area/s0.05m0.8/",0
"1594",0.15,"trig",-0.4,"P18","scatter",-0.07,0.07,93,"img/trig/scatter/s0.15m-0.4/",0
"1595",0.2,"line",0.4,"P18","area",0.07,0.07,94,"img/line/area/s0.2m0.4/",0
"1596",0.1,"quad",0.1,"P18","scatter",0.11,0.11,95,"img/quad/scatter/s0.1m0.1/",0
"1597",0.05,"trig",0.1,"P18","area",0.01,0.01,96,"img/trig/area/s0.05m0.1/",0
"1598",0.15,"quad",-0.2,"P18","line",-0.08,0.08,97,"img/quad/line/s0.15m-0.2/",0
"1599",0.2,"line",0.2,"P18","line",0.12,0.12,98,"img/line/line/s0.2m0.2/",0
"1600",0.2,"trig",-0.4,"P18","scatter",-0.11,0.11,99,"img/trig/scatter/s0.2m-0.4/",0
